,AAPL,JPM,MSFT,MS,AMZN
20070710,1685076408,295139673,2229780850,94431575,137002902
20070711,653383599,379318865,1150042038,76796140,89859701
20070716,1230602896,115179476,1258264509,48687046,121557926
20070713,938743299,190076184,1171737398,71831209,189958875
20070712,668151121,246399058,1750046234,79417750,176022122
20070709,1042313131,113411403,1043452350,41516682,219787974
